AAPL
['Date', 'Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']
['2022-11-28', '145.139999', '149.130005', '140.350006', '147.809998', '146.988403', '401088500']
['2022-12-05', '147.770004', '150.919998', '140.000000', '142.160004', '141.369812', '341500000']
['2022-12-12', '142.699997', '149.970001', '133.729996', '134.509995', '133.762329', '505728900']
['2022-12-19', '135.110001', '136.809998', '129.639999', '131.860001', '131.127060', '384620400']
['2022-12-26', '131.380005', '131.410004', '125.870003', '129.929993', '129.207779', '307184100']
['2023-01-02', '130.279999', '130.899994', '124.169998', '129.619995', '128.899506', '369948500']
['2023-01-09', '130.470001', '134.919998', '128.119995', '134.759995', '134.010925', '333335200']
['2023-01-16', '134.830002', '138.610001', '133.770004', '137.869995', '137.103638', '271823400']
['2023-01-23', '138.119995', '147.229996', '137.899994', '145.929993', '145.118851', '338655600']
['2023-01-30', '144.960007', '157.380005', '141.320007', '154.500000', '153.641220', '480249700']
['2023-02-06', '152.570007', '155.229996', '149.220001', '151.009995', '150.170609', '330758800']
['2023-02-13', '150.949997', '156.330002', '150.850006', '152.550003', '151.933685', '316792400']
['2023-02-20', '150.199997', '151.300003', '145.720001', '146.710007', '146.117279', '213742300']
['2023-02-27', '147.710007', '151.110001', '143.899994', '151.029999', '150.419830', '273994900']
['2023-03-06', '153.789993', '156.300003', '147.610001', '148.500000', '147.900040', '313350800']
['2023-03-13', '147.809998', '156.740005', '147.699997', '155.000000', '154.373779', '410426600']
['2023-03-20', '155.070007', '162.139999', '154.149994', '160.250000', '159.602570', '350100100']
['2023-03-27', '159.940002', '165.000000', '155.979996', '164.899994', '164.233780', '267939700']
['2023-04-03', '164.270004', '166.839996', '161.800003', '164.660004', '163.994781', '200156300']
['2023-04-10', '161.419998', '166.320007', '159.779999', '165.210007', '164.542542', '263326300']
['2023-04-17', '165.089996', '168.160004', '164.029999', '165.020004', '164.353317', '249953100']
['2023-04-24', '165.000000', '169.850006', '162.800003', '169.679993', '168.994476', '256274000']
['2023-05-01', '169.279999', '174.300003', '164.309998', '173.570007', '172.868759', '360586400']
['2023-05-08', '172.479996', '174.589996', '171.000000', '172.570007', '171.872787', '250026700']
['2023-05-15', '173.160004', '176.389999', '170.419998', '175.160004', '174.693649', '258597700']
['2023-05-22', '173.979996', '175.770004', '170.520004', '175.429993', '174.962921', '250355000']
['2023-05-29', '176.960007', '181.779999', '176.570007', '180.949997', '180.468216', '286437400']
['2023-06-05', '182.630005', '184.949997', '177.320007', '180.960007', '180.478195', '347825100']
['2023-06-12', '181.270004', '186.990005', '180.970001', '184.919998', '184.427643', '333335700']
['2023-06-19', '184.410004', '187.559998', '182.589996', '186.679993', '186.182953', '203639400']
['2023-06-26', '186.830002', '194.479996', '185.229996', '193.970001', '193.453552', '281453200']
['2023-07-03', '193.779999', '193.880005', '189.199997', '190.679993', '190.172302', '170250800']
['2023-07-10', '189.259995', '191.699997', '186.600006', '190.690002', '190.182297', '250226700']
['2023-07-17', '191.899994', '198.229996', '191.229996', '191.940002', '191.428970', '310880300']
['2023-07-24', '193.410004', '197.199997', '192.250000', '195.830002', '195.308609', '225884500']
['2023-07-31', '196.059998', '196.729996', '181.919998', '181.990005', '181.505463', '301423400']
['2023-08-07', '182.130005', '183.130005', '176.550003', '177.789993', '177.316620', '332452600']
['2023-08-14', '177.970001', '179.690002', '171.960007', '174.490005', '174.260422', '261440200']
['2023-08-21', '175.070007', '181.550003', '173.740005', '178.610001', '178.375000', '247514300']
['2023-08-28', '180.089996', '189.919998', '178.550003', '189.460007', '189.210739', '264165600']
['2023-09-04', '188.279999', '189.979996', '173.539993', '178.179993', '177.945557', '305075900']
['2023-09-11', '180.070007', '180.300003', '173.580002', '175.009995', '174.779724', '403692100']
['2023-09-18', '176.479996', '179.699997', '173.860001', '174.789993', '174.560013', '297294000']
['2023-09-25', '174.199997', '176.970001', '167.619995', '171.210007', '170.984741', '285792000']
['2023-10-02', '171.220001', '177.990005', '170.820007', '177.490005', '177.256485', '260531400']
['2023-10-09', '176.809998', '182.339996', '175.800003', '178.850006', '178.614685', '241810100']
['2023-10-16', '176.750000', '179.080002', '172.639999', '172.880005', '172.652542', '288323000']
['2023-10-23', '170.910004', '174.009995', '165.669998', '168.220001', '167.998672', '286078100']
['2023-10-30', '169.020004', '177.779999', '167.899994', '176.649994', '176.417572', '310010400']
['2023-11-06', '176.380005', '186.570007', '176.210007', '186.399994', '186.154739', '303608500']
['2023-11-13', '185.820007', '190.960007', '184.210007', '189.690002', '189.690002', '262862000']
['2023-11-20', '189.889999', '192.929993', '189.250000', '189.970001', '189.970001', '148305600']
['2023-11-27', '189.919998', '191.080002', '188.899994', '190.399994', '190.399994', '78920900']
['2023-11-28', '189.779999', '191.080002', '189.399994', '190.399994', '190.399994', '36588319']
